SITE,COUNTRY,YEAR,MONTH,PRODUCT,TITLE,BRAND,MAIN_CATEGORY,SUB_CATEGORY,ESTIMATED_VIEWS,ESTIMATED_PURCHASES
target.com,840,21,7,a-52403939,Industrial Task Floor Lamp Brass  - Threshold™,Threshold,Target,Target - Home,833.960100661266,40.81811958592617
target.com,840,21,7,a-53321078,Crosby Schoolhouse Floor Lamp Black (Includes LED Light Bulb) - Threshold™,Threshold,Target,Target - Home,6486.356338476513,76.56638577522983
target.com,840,21,7,a-53318981,Oak Wood Tripod Floor Lamp Brass  - Threshold™,Threshold,Target,Target - Home,6486.356338476513,231.84815552189542
target.com,840,21,7,a-80902221,Etagere Power Source Shelf Floor Lamp Black  - Threshold™,Threshold,Target,Target - Home,2687.2047687974127,87.75136728936509
target.com,840,21,7,a-80282236,3-way Turned Wood Floor Lamp Gray  - Threshold™,Threshold,Target,Target - Home,741.2978672544587,29.538545143323432
target.com,840,21,7,a-14794083,Washed Wood Double Socket Floor Lamp Black (Includes LED Light Bulb) - Threshold™,Threshold,Target,Target - Home,1111.9468008816878,54.00667784017627
target.com,840,21,7,a-17303205,Cantilever Drop Pendant Floor Lamp Antique Brown (Includes LED Light Bulb) - Threshold™,Threshold,Target,Target - Home,277.98670022042194,11.076954428746287
target.com,840,21,7,a-51028716,Torch Floor Lamp Silver (Includes LED Light Bulb) - Threshold™,Threshold,Target,Target - Home,555.9734004408439,22.153908857492574
target.com,840,21,7,a-79503493,Traditional Swing Arm Oil Rubbed Floor Lamp (Includes LED Light Bulb) Bronze - Threshold™,Threshold,Target,Target - Home,277.98670022042194,11.076954428746287
target.com,840,21,7,a-80282235,Turned Wood Floor Lamp (Includes LED Light Bulb) Gray - Threshold™,Threshold,Target,Target - Home,926.6223340680733,38.057888197642775
target.com,840,21,7,a-53526183,Etagere Power Source Shelf Floor Lamp Black (Includes LED Light Bulb) - Threshold™,Threshold,Target,Target - Home,277.98670022042194,11.076954428746287
target.com,840,21,7,a-79806098,Hudson Floor Lamp Black - Threshold™,Threshold,Target,Target - Home,370.6489336272293,14.769272571661716
target.com,840,21,7,a-79806100,Hudson Floor Lamp (Includes LED Light Bulb) Black - Threshold™,Threshold,Target,Target - Home,277.98670022042194,11.076954428746287
target.com,840,21,7,a-81448617,Traditional Swing Arm Oil Rubbed Floor Lamp Bronze - Threshold™,Threshold,Target,Target - Home,2501.880301983798,88.20264770907454
target.com,840,21,7,a-52968253,Shelf Floor Lamp Light Wood (Includes LED Light Bulb) - Threshold™,Threshold,Target,Target - Home,7876.289839578623,315.38354381618115
target.com,840,21,7,a-81106624,Farmhouse Swing Arm Floor Lamp (Includes LED Light Bulb) Brass - Threshold™,Threshold,Target,Target - Home,2501.880301983798,95.37197895761605
target.com,840,21,7,a-52403948,Industrial Task Floor Lamp Brass (Includes CFL Light Bulb) - Threshold™,Threshold,Target,Target - Home,277.98670022042194,11.076954428746287
target.com,840,21,7,a-54553882,Downbridge Collection Floor Lamp Silver  - Threshold™,Threshold,Target,Target - Home,741.2978672544587,29.538545143323432
target.com,840,21,7,a-51028717,Torch Floor Lamp Slate Black  - Threshold™,Threshold,Target,Target - Home,833.960100661266,33.230863286238865
target.com,840,21,7,a-53318463,Crosby Schoolhouse Floor Lamp White  - Threshold™,Threshold,Target,Target - Home,2779.86700220422,153.8413084848638
target.com,840,21,7,a-53318821,Wood Tripod Floor Lamp Nickel  - Threshold™,Threshold,Target,Target - Home,833.960100661266,33.230863286238865
target.com,840,21,7,a-52404502,Shelf Floor Lamp Light Wood  - Threshold™,Threshold,Target,Target - Home,648.6356338476513,25.846227000408003
target.com,840,21,7,a-79503184,Cut Off Base Floor Lamp (Includes LED Light Bulb) Black - Threshold™,Threshold,Target,Target - Home,277.98670022042194,20.0746890309745
target.com,840,21,7,a-15426009,Square Stick Floor Lamp Silver (Includes LED Light Bulb) - Threshold™,Threshold,Target,Target - Home,648.6356338476513,32.75322986363509
target.com,840,21,7,a-53321069,Cantilever Drop Pendant Floor Lamp Antique Bronze  - Threshold™,Threshold,Target,Target - Home,8988.23664046031,335.2604527750717
target.com,840,21,7,a-52406394,Mother Daughter Floor Lamp Brass  - Threshold™,Threshold,Target,Target - Home,648.6356338476513,33.40336667348868
target.com,840,21,7,a-17303204,Cantilever Drop Pendant Floor Lamp Antique Bronze  - Threshold™,Threshold,Target,Target - Home,2316.555835170183,93.72903954426012
target.com,840,21,7,a-80786113,"4"" x 6"" Wood Photo Frame Brown - Threshold™",Threshold,Target,Target - Home,1019.2845674748806,43.75457646425191
target.com,840,21,7,a-77656838,"11"" x 14"" Beveled Back Document Frame with Double Matted Black - Threshold™",Threshold,Target,Target - Home,1482.5957345089173,61.926925420989335
target.com,840,21,7,a-77656846,"4"" x 6"" Photo Album Black 3 Per Page - Threshold™",Threshold,Target,Target - Home,1945.9069015429538,118.04036760099028
target.com,840,21,7,a-78423777,"8.5"" x 11"" Wooden Shadow Box - Threshold™",Threshold,Target,Target - Home,1389.93350110211,59.91511852848896
target.com,840,21,7,a-52323649,"10"" x 20"" Wood and Metal Edge Multiple Opening Float Frame Brown - Threshold™",Threshold,Target,Target - Home,2131.2313683565685,90.48036706274719
target.com,840,21,7,a-77361214,"6"" x 8"" Matted to 4"" x 6"" Wood Single Image Frame Gray - Threshold™",Threshold,Target,Target - Home,1111.9468008816878,43.46095381057543
target.com,840,21,7,a-53967150,"5"" x 7"" Placeholder Frame Whitewashed Wood - Threshold™",Threshold,Target,Target - Home,1019.2845674748806,41.8434849770253
target.com,840,21,7,a-53532353,"9"" x 11"" Matted to 8"" x 10"" Basic Foundational Frame Black - Threshold™",Threshold,Target,Target - Home,648.6356338476513,25.847160899704853
target.com,840,21,7,a-53532355,"7"" x 9"" matted to 5"" x 7"" Basic Foundational Frame Black - Threshold™",Threshold,Target,Target - Home,277.98670022042194,11.07735467130208
target.com,840,21,7,a-54562757,"5"" x 7"" Vertical Sides Natural Frame Antique Wood - Threshold™",Threshold,Target,Target - Home,1111.9468008816878,48.695459045928494
target.com,840,21,7,a-52323287,"11"" x 14"" Matted to 8"" x 10"" Wood and Metal Edge Frame Brown - Threshold™",Threshold,Target,Target - Home,1667.920201322532,84.41619540753331
target.com,840,21,7,a-82205204,"8"" x 10"" Antique Table Frame Gold - Threshold™",Threshold,Target,Target - Home,1760.5824347293392,65.4217351817932
target.com,840,21,7,a-14625725,"5"" x 7"" Frame Distressed Wood - Threshold™",Threshold,Target,Target - Home,648.6356338476513,25.847160899704853
target.com,840,21,7,a-51067996,"4"" x 6"" Textured Nickel Frame - Threshold™",Threshold,Target,Target - Home,648.6356338476513,43.260971790119015
target.com,840,21,7,a-80432159,"4"" x 6"" Antique Table Frame Gold - Threshold™",Threshold,Target,Target - Home,370.6489336272293,14.769806228402775
